word,score
amazing,585.9
better,440.40000000000003
prepared,226.3
definitely,401.9
fine,202.3
nice,421.5
number,77.2
reaches,51.6
sure,318.2
interested,401.9
favorite,458.8
clean,401.9
awesome,624.9
magnificent,599.4000000000001
bonus,542.3
free,510.6000000000001
pretty,493.9
enjoyed,510.6000000000001
excellent,571.9
efficient,421.5
clear,381.79999999999995
kind,526.6999999999999
super,599.4000000000001
sweet,458.8
good,440.40000000000003
delicious,571.9
lovely,585.9
strongly,273.2
reach,25.8
fresh,318.2
comforting,401.9
wish,401.9
love,636.9
loved,599.4000000000001
hand,493.9
save,493.9
well,273.2
perfect,571.9
best,636.9
great,624.9
popular,421.5
warm,226.3
worth,226.3
like,361.20000000000005
stopped,-226.3
forget,-226.3
negative,-571.9
bother,-340.0
cut,-273.2
bad,-542.3
complain,-361.20000000000005
excruciatingly,-599.4000000000001
disappointed,-476.7
complaints,-401.9
no,-296.0
regret,-421.5
low,-273.2
downside,-250.0
refused,-296.0
stingy,-381.79999999999995
dirty,-440.40000000000003
fault,-401.9
